Full_Sample_Name,Sample,Qtz,Carrier,,Blank ,Apparent,St,,Latitude,Longitude,elevation,flag,Thickness,Density,Shielding,Erosion rate,Be std
,Name,weight,added,10Be/9Be,corrected 10Be ,Age,,±,,,,,(cm),(g cm-1),,,
,,(g),(g),10-14,(atoms g-1),(yr),Age (yr),Interr (yr),,,,,,,,,
18JAK_ER1_01_Surface,Surface,56.821,0.1817,15.3±0.3,33610±630,7100±130,7102,134,69.23156983,-49.80933219,107,std,1.5,2.65,1,0,07KNSTD
18JAK_ER1_01_12-15,12-15,55.872,0.1822,11.7±0.2,26090±490,5510±100,5514,103,69.23156983,-49.80933219,107,std,1.5,2.65,1,0,07KNSTD
18JAK_ER1_01_30-33,30-33,60.139,0.1830,9.2±0.2,19130±360,4030±80,4034,76,69.23156983,-49.80933219,107,std,1.5,2.65,1,0,07KNSTD
18JAK_ER1_01_65-69,65-69,64.043,0.1818,5.5±0.1,10730±240,2260±50,2259,50,69.23156983,-49.80933219,107,std,1.5,2.65,1,0,07KNSTD
18JAK_ER1_01_Base,Base,34.677,0.1820,1.8±0.1,6210±210,1310±40,1311,44,69.23156983,-49.80933219,107,std,1.5,2.65,1,0,07KNSTD
18JAK_ER1_FL1,FL1,34.663,0.1832,3.3±0.1,11910±320,2510±70,2512,68,69.23156983,-49.80933219,107,std,1.5,2.65,1,0,07KNSTD
18JAK_ER1_FL2,FL2,45.816,0.1835,8.0±0.2,21870±500,4630±110,4626,106,69.23156983,-49.80933219,107,std,1.5,2.65,1,0,07KNSTD
18JAK_ER1_FL3,FL3,33.552,0.1832,8.5±0.2,31940±570,6740±120,6742,120,69.23156983,-49.80933219,107,std,1.5,2.65,1,0,07KNSTD
18JAK_ER2_A,ER2-A,26.190,0.1832,2.0±0.1,9150±310,1930±70,1931,66,69.23179104,-49.81026817,107,std,1.5,2.65,1,0,07KNSTD
18JAK_ER2_B,ER2-B,73.360,0.1834,14.6±0.3,25090±480,5300±100,5303,101,69.23179104,-49.81026817,107,std,1.5,2.65,1,0,07KNSTD
